id,lat,lon,area,regions1,regions2
630,47.17,10.25,25.2,4,4
631,47.46,9.87,103,2,4
632,47.51,9.84,81.5,4,4
633,47.42,9.74,2.8,4,4
634,47.46,9.7,27,4,4
635,47.16,9.69,67.5,4,4
636,47.15,10.04,66.6,4,4
637,47.34,10.53,87,4,4
638,47.01,10.38,91.6,4,4
639,47.13,10.55,2442,4,4
640,47.01,10.26,97.6,4,4
641,47.02,10.22,168,4,4
642,47.18,10.45,388,4,4
643,47.12,10.41,131,4,4
644,47.1,10.19,172,4,4
645,47.14,10.36,269,4,4
646,46.93,10.8,101,4,4
647,47.08,10.96,225,4,4
648,46.96,11.16,452,4,4
649,47.05,10.9,70.9,4,4
650,47.05,10.87,56,4,4
651,47.23,11.14,206,4,4
652,47.18,11.25,243,4,4
653,47.12,11.54,58.3,4,4
654,47.22,11.85,198,4,4
655,47.37,12.1,137,4,4
656,47.49,12.01,9342,4,4
657,47.11,10.71,728,4,4
658,47.58,10.37,110,2,4
659,47.56,11.16,390,4,4
660,47.51,11.4,110,4,4
661,47.64,12.23,114,4,4
662,47.74,12.6,945,4,4
663,47.63,12.56,47.9,4,4
664,47.5,12.18,79.2,4,4
665,47.63,12.47,100,4,4
666,47.4,12.46,9.2,4,4
667,46.95,10.63,11.4,4,4
668,47.5,11.97,9.7,4,4
669,47.23,12.2,196,4,4
670,47.21,12.68,127,4,4
671,47.19,12.79,88.6,4,4
672,47.32,12.91,160,4,4
673,47.09,12.98,96.1,4,4
674,47.17,13.15,243,4,4
675,47.24,13.09,2212,4,4
676,47.17,13.01,57.4,4,4
677,47.28,13.14,2584,4,4
678,47.81,13.15,1146,2,4
679,47.98,13.03,6168,2,4
680,47.22,12.51,128,4,4
681,47.04,13.55,163,4,4
682,47.97,13.31,112,2,4
683,47.26,13.11,2118,4,4
684,47.57,13.22,74.9,4,4
685,47.91,13.25,13.6,4,4
686,47.56,13.07,71.7,4,4
687,47.22,12.34,111,4,4
688,47.77,13,4479,4,4
689,48.62,14.71,81.3,2,4
690,48.15,13.03,6716,2,4
691,48.02,13.13,12.4,2,4
692,48.44,13.53,90.4,2,4
693,48.37,13.4,29.6,2,4
694,48.26,13.79,107,2,4
695,47.74,13.49,246,4,4
696,48.21,13.91,3440,2,4
697,48.32,14.64,261,2,4
